2013;main;Vittorio Cortellessa;Università dell'Aquila;Italy
2013;main;Daniel Varró;Budapest University of Technology and Economics;Hungary
2013;main;Marco Bernardo;Università di Urbino;Italy
2013;main;Ruth Breu;University of Innsbruck;Austria
2013;main;Shing-Chi Cheung;The Hong Kong University of Science and Technology
2013;main;Bojan Cukic;West Virginia University;USA
2013;main;Juan de Lara;Universidad Autónoma de Madrid;Spain
2013;main;Ewen Denney;NASA;USA
2013;main;Jürgen Dingel;Queen's University;Canada
2013;main;Alexander Egyed;Johannes Kepler University;Austria
2013;main;Claudia Ermel;Technische Universität Berlin;Germany
2013;main;Rudolf Ferenc;University of Szeged;Hungary
2013;main;Holger Giese;Universität Potsdam;Germany
2013;main;Paul Grace;Lancaster University;UK
2013;main;Reiko Heckel;University of Leicester;UK
2013;main;John Hosking;Australian National University
2013;main;Valerie Issarny;INRIA;France
2013;main;Jochen Küster;IBM;Switzerland
2013;main;Raffaela Mirandola;Politecnico di Milano;Italy
2013;main;Richard Paige;University of York;UK
2013;main;Dorina Petriu;Carleton University;Canada
2013;main;Alfonso Pierantonio;Universita dell'Aquila;Italy
2013;main;Claudia Pons;University of La Plata;Argentina
2013;main;Abhik Roychoudhury;National University of Singapore
2013;main;Andy Schürr;TU Darmstadt;Germany
2013;main;Bran Selic;Malina Software Corp.;Canada
2013;main;Gabriele Taentzer;Philipps-Universität Marburg;Germany
2013;main;Nicolai Tillmann;Microsoft Research;USA
2013;main;Virginie Wiels;Onera;France
2013;main;Andrea Zisman;City University London;UK
2012;main;Juan de Lara;Autonomous Univ. of Madrid;Spain;
2012;main;Andrea Zisman;City Univ.;London;UK
2012;main;Luca de Alfaro;Univ. of California at Santa Cruz;USA;
2012;main;Luciano Baresi;Polytechn. Univ. of Milan;Italy;
2012;main;Don Batory;Univ. of Texas at Austin;USA;
2012;main;Artur Boronat;Univ. of Leicester;UK;
2012;main;Paolo Bottoni;"Sapienza"" Univ. of Rome";Italy;
2012;main;Marsha Chechik;Univ. of Toronto;Canada;
2012;main;Shing-Chi Cheung;Hong Kong Univ. of Sci. and Techn.;Hong Kong;
2012;main;Jürgen Dingel;Queen's Univ.;Canada;
2012;main;Gregor Engels;Univ. of Paderborn;Germany;
2012;main;Claudia Ermel;Techn. Univ. of Berlin;Germany;
2012;main;Dimitra Giannakopoulou;Carnegie Mellon Univ. / NASA Ames;USA;
2012;main;Holger Giese;Hasso Plattner Inst.;Germany;
2012;main;Esther Guerra;Autonomous Univ. of Madrid;Spain;
2012;main;Reiko Heckel;Univ. of Leicester;UK;
2012;main;John Hosking;Univ. of Auckland;New Zealand;
2012;main;Christos Kloukinas;City Univ.;London;UK
2012;main;Alexander Knapp;Univ. of Augsburg;Germany;
2012;main;Jeff Kramer;Imperial College;UK;
2012;main;Luís C. Lamb;Federal Univ. of Rio Grande do Sul;Brazil;
2012;main;Yngve Lamo;Bergen Univ. College;Norway;
2012;main;Tiziana Margaria;Univ. of Potsdam;Germany;
2012;main;Fernando Orejas;Polytechn. Univ. of Catalunya;Spain;
2012;main;Richard Paige;Univ. of York;UK;
2012;main;Alfonso Pierantonio;Univ. of Aquila;Italy;
2012;main;Jesús Sánchez Cuadrado;Autonomous Univ. of Madrid;Spain;
2012;main;Andy Schürr;Technical Univ. of Darmstadt;Germany;
2012;main;George Spanoudakis;City Univ.;London;UK
2012;main;Gabriele Taentzer;Univ. of Marburg;Germany;
2012;main;Daniel Varro;Budapest Univ. of Technology and Economics;Hungary;
2011;main;Dimitra Giannakopoulou;Carnegie Mellon University/NASA Ames;USA;
2011;main;Fernando Orejas;Universitat Politècnica de Catalunya;Spain;
2011;main;Josh Berdine;Microsoft Research Cambridge;UK;
2011;main;Marsha Chechik;University of Toronto;Canada;
2011;main;Shing-Chi Cheung;Hong Kong University of Science and Technology;China;
2011;main;Claudia Ermel;Technische Universität Berlin;Germany;
2011;main;José Fiadeiro;University of Leicester;UK;
2011;main;Alex Groce;Oregon State University;USA;
2011;main;Klaus Havelund;NASA / JPL;USA;
2011;main;Reiko Heckel;University of Leicester;UK;
2011;main;Mats Heimdahl;University of Minnesota;USA;
2011;main;Paola Inverardi;Università dell'Aquila;Italy;
2011;main;Valerie Issarny;INRIA Paris-Rocquencourt;France;
2011;main;Joost-Pieter Katoen;RWTH Aachen University;Germany;
2011;main;Juan de Lara;Universidad Autónoma de Madrid;Spain;
2011;main;Jeff Magee;Imperial College London;UK;
2011;main;T. S. E. Maibaum;McMaster University;Canada;
2011;main;Tiziana Margaria;Universität Potsdam;Germany;
2011;main;Leonardo Mariani;University of Milano Bicocca;Italy;
2011;main;Laurent Mounier;VERIMAG;France;
2011;main;Corina Pasareanu;Carnegie Mellon / NASA Ames;USA;
2011;main;Gabriele Taentzer;Philipps-Universität Marburg;Germany;
2011;main;Daniel Varro;Budapest University of Technology and Economics;Hungary;
2011;main;Kapil Vaswani;Microsoft Research India;India;
2011;main;Willem Visser;Stellenbosch University;South Africa;
2011;main;Martin Wirsing;Ludwig-Maximilians-Universität München;Germany;
2011;main;Andrea Zisman;City University London;UK;
2010;main;Don Batory;University of Texas at Austin;USA;
2010;main;Antonia Bertolino;ISTI-CNR;Italy;
2010;main;Vittorio Cortellessa;Università dell'Aquila;Italy;
2010;main;Serge Demeyer;University of Antwerp;Belgium;
2010;main;Alexander Egyed;Johannes Kepler University Linz;Austria;
2010;main;Sebastian Elbaum;University of Nebraska - Lincoln;USA;
2010;main;José Fiadeiro;University of Leicester;UK;
2010;main;Dimitra Giannakopoulou;Carnegie Mellon University/NASA Ames;USA;
2010;main;Holger Giese;Hasso Plattner Institute;Potsdam;Germany
2010;main;Reiko Heckel;University of Leicester;UK;
2010;main;Paola Inverardi;Università dell'Aquila;Italy;
2010;main;Jana Köhler;IBM Research Zurich;Switzerland;
2010;main;Rainer Koschke;University of Bremen;Germany;
2010;main;Juan de Lara;Universidad Autónoma de Madrid;Spain;
2010;main;Emmanuel Letier;University College London;UK;
2010;main;T. S. E. Maibaum;McMaster University;Canada;
2010;main;Tiziana Margaria;Universität Potsdam;Germany;
2010;main;Gail Murphy;University of British Columbia;Canada;
2010;main;Mauro Pezzè;University of Lugano;Switzerland and Univeristy of Milan Bicocca;Italy
2010;main;Leila Ribeiro;Federal University of Rio Grande do Sul;Brazil;
2010;main;Andy Schürr;Technische Universität Darmstadt;Germany;
2010;main;Perdita Stevens;(University of Edinburgh;UK;
2010;main;Harald Störrle;University of Munich;Germany;
2010;main;Daniel Varro;Budapest University of Technology and Economics;Hungary;
2010;main;Heike Wehrheim;University of Paderborn;Germany;
2009;main;Michel Bidoit;INRIA Saclay;France;
2009;main;Marsha Chechik;University of Toronto;Canada;
2009;main;Jim Davies;University of Oxford;UK;
2009;main;Jürgen Dingel;Queen's University;Canada;
2009;main;Schahram Dustdar;Vienna University of Technology;Austria;
2009;main;Alexander Egyed;Johannes Kepler University Linz;Austria;
2009;main;José Fiadeiro;University of Leicester;UK;
2009;main;Harald Gall;University of Zurich;Switzerland;
2009;main;Dimitra Giannakopoulou;RIACS/NASA Ames;USA;
2009;main;Reiko Heckel;University of Leicester;UK;
2009;main;Mats Heimdahl;University of Minnesota;USA;
2009;main;Paola Inverardi;University of L'Aquila;Italy;
2009;main;Alexander Knapp;University of Augsburg;Germany;
2009;main;Angelika Mader;University of Twente;Netherlands;
2009;main;T. S. E. Maibaum;McMaster University;Canada;
2009;main;Tiziana Margaria;University of Potsdam;Germany;
2009;main;Fabio Massacci;University of Trento;Italy;
2009;main;Stephan Merz;INRIA Nancy;France;
2009;main;Peter Olveczky;University of Oslo;Norway;
2009;main;Richard Paige;University of York;UK;
2009;main;Gregg Rothermel;University of Nebraska-Lincoln;USA;
2009;main;Koushik Sen;University of California;Berkeley;USA
2009;main;Perdita Stevens;University of Edinburgh;UK;
2009;main;Gabriele Taentzer;University of Marburg;Germany;
2009;main;Ladan Tahvildari;University of Waterloo;Canada;
2009;main;Tetsuo Tamai;University of Tokyo;Japan;
2009;main;Sebastian Uchitel;University of Buenos Aires;Argentina;
2009;main;Daniel Varro;Budapest University of Technology and Economics;Hungary;
2009;main;Martin Wirsing;LMU Munich;Germany;
2008;main;Don Batory;University of Texas at Austin;USA;
2008;main;Ruth BREU;University of Innsbruck;Austria;
2008;main;Carlos Canal;University of Málaga;Spain;
2008;main;Maura Cerioli;University of Genova;Italy;
2008;main;Shing-Chi Cheung;Hong Kong University of Science and Technology;China;
2008;main;Vittorio Cortellessa;University of l'Aquila;Italy;
2008;main;Laurie DILLON;Michigan State University;USA;
2008;main;Marlon DUMAS;Queensland University of Technology;Australia;
2008;main;Schahram Dustdar;Technical University of Vienna;Austria;
2008;main;José Fiadeiro;University of Leicester;UK;
2008;main;Harald Gall;University of Zürich;Switzerland;
2008;main;Dimitra Giannakopoulou;NASA Ames Research Center;USA;
2008;main;Holger Giese;University of Paderborn;Germany;
2008;main;Martin GLINZ;University of Zürich;Switzerland;
2008;main;Reiko Heckel;University of Leicester;UK;
2008;main;Paola Inverardi;University of l'Aquila;Italy;
2008;main;Valerie Issarny;INRIA Rocquencourt;France;
2008;main;Daniel LE METAYER;INRIA Alpes;France;
2008;main;Gary T. LEAVENS;Iowa State University;USA;
2008;main;Antónia Lopes;University of Lisbon;Portugal;
2008;main;Angelika Mader;University of Twente;The Netherlands;
2008;main;T. S. E. Maibaum;McMaster University;CA;
2008;main;Dominique MERY;University of Nancy;France;
2008;main;Oscar NIERSTRASZ;University of Berne;Switzerland;
2008;main;David ROSENBLUM;University College London;UK;
2008;main;Tetsuo Tamai;University of Tokyo;JP;
2008;main;Gabriele Taentzer;Philipps-Universität Marburg;Germany;
2008;main;Sebastian Uchitel;Imperial College London;UK;
2008;main;Martin Wirsing;University of Munich;Germany;
2008;main;Pamela ZAVE;AT&T Labs;USA;
2007;main;Luciano Baresi;Politecnico di Milano;;
2007;main;Yolande Berbers;Katholieke Universiteit Leuven;;
2007;main;Carlos Canal;University of Málaga;;
2007;main;Myra Cohen;University of Nebraska;;
2007;main;Ivica Crnkovic;Mälardalen University;;
2007;main;Arie van Deursen;Delft University of Technology;;
2007;main;Jürgen Dingel;Queen's University;;
2007;main;Matthew Dwyer;University of Nebraska;;
2007;main;Harald Gall;University of Zurich;;
2007;main;Holger Giese;University of Paderborn;;
2007;main;Martin Grosse Rhode;Fraunhofer-ISST;;
2007;main;Anthony Hall;independent consultant;;
2007;main;Reiko Heckel;University of Leicester;;
2007;main;Patrick Heymans;University of Namur;;
2007;main;Paola Inverardi;University of L'Aquila;;
2007;main;Valerie Issarny;INRIA-Rocquencourt;;
2007;main;Natalia Juristo;Universidad Politecnica de Madrid;;
2007;main;Kai Koskimies;Tampere University of Technology;;
2007;main;Patricia Lago;Vrije Universiteit;;
2007;main;Antónia Lopes;University of Lisbon;;
2007;main;Mieke Massink;CNR-Institute of Information Science and Technology;;
2007;main;Carlo Montangero;University of Pisa;;
2007;main;Barbara Paech;University of Heidelberg;;
2007;main;Leila Ribeiro;Federal University of Rio Grande do Sul;;
2007;main;Robby;Kansas State University;;
2007;main;Catalin Roman;Washington University;;
2007;main;Sebastian Uchitel;Imperial College London and University of Buenos Aires;;
2007;main;Jianjun Zhao;Shanghai Jiao Tong University;;
2006;main;Jan Øyvind Aagedal;Norway;;
2006;main;Luciano Baresi;Italy;;
2006;main;Jean Bézivin;France;;
2006;main;Victor Braberman;Argentina;;
2006;main;Maura Cerioli;Italy;;
2006;main;Matthew Dwyer;USA;;
2006;main;Anthony Finkelstein;UK;;
2006;main;Harald Gall;Switzerland;;
2006;main;Alan Hartman;Israel;;
2006;main;Reiko Heckel;UK;;
2006;main;Mehdi Jazayeri;Austria;;
2006;main;Antónia Lopes;Portugal;;
2006;main;Sandro Morasca;Italy;;
2006;main;András Pataricza;Hungary;;
2006;main;Mauro Pezzè;Italy;;
2006;main;Arend Rensink;The Netherlands;;
2006;main;Leila Ribeiro;Brazil;;
2006;main;Andy Schürr;Germany;;
2006;main;Gabriele Taentzer;Germany;;
2006;main;Tetsuo Tamai;Japan;;
2006;main;Sebastian Uchitel;UK;;
2006;main;Heike Wehrheim;Germany;;
2006;main;Michel Wermelinger;UK;;
2006;main;Alexander Wolf;USA;;
2006;main;Michal Young;USA;;
2005;main;Silvia Teresita Acuña;Spain;;
2005;main;Leonor Barroca;UK;;
2005;main;Yolande Berbers;Belgium;;
2005;main;Jean Bézivin;France;;
2005;main;Jean-Michel Bruel;France;;
2005;main;Maura Cerioli;Italy;;
2005;main;Marsha Chechik;Canada;;
2005;main;Gianpaolo Cugola;Italy;;
2005;main;Colin Fidge;Australia;;
2005;main;Anthony Finkelstein;UK;;
2005;main;Chris George;Macao;;
2005;main;Martin Grosse Rhode;Germany;;
2005;main;Tomasz Janowski;Poland;;
2005;main;Mehdi Jazayeri;Austria;;
2005;main;Cliff Jones;UK;;
2005;main;Antónia Lopes;Portugal;;
2005;main;Tiziana Margaria;Germany;;
2005;main;Stephan Merz;France;;
2005;main;Carlo Montangero;Italy;;
2005;main;Doron Peled;UK;;
2005;main;Ernesto Pimentel;Spain;;
2005;main;Alfred W. Strohmeier;Switzerland;;
2005;main;Michel Wermelinger;Portugal;;
2005;main;Roel Wieringa;The Netherlands;;
2005;main;Alexander Wolf;USA;;
2004;main;Ralph-Johan Back;Åbo Akademi;Finland;
2004;main;Jean Bézivin;Univ. Nantes;France;
2004;main;Maura Cerioli;Univ. di Genova;Italy;
2004;main;Matthew Dwyer;Kansas State Univ.;USA;
2004;main;Reiko Heckel;Univ. Paderborn;Germany;
2004;main;Constance Heitmeyer;Naval Research Laboratory;USA;
2004;main;Heinrich Hußmann;Ludwig-Maximilians-Univ. München;Germany;
2004;main;Dan Craigen;ORA;Canada;
2004;main;Serge Demeyer;Univ. Antwerp;Belgium;
2004;main;John Fitzgerald;Univ. of Newcastle upon Tyne;UK;
2004;main;David Garlan;Carnegie Mellon Univ.;USA;
2004;main;Antónia Lopes;Univ. de Lisboa;Portugal;
2004;main;Jeff Magee;Imperial College;UK;
2004;main;Tiziana Margaria;Univ. Dortmund;Germany;
2004;main;Tom Mens;Univ. de Mons-Hainaut;Belgium;
2004;main;Mauro Pezzè;Univ. di Milano;Italy;
2004;main;Gian Pietro Picco;Politecnico di Milano;Italy;
2004;main;Ernesto Pimentel;Univ. de Málaga;Spain;
2004;main;Gabriele Taentzer;Technische Univ. Berlin;Germany;
2004;main;Michel Wermelinger;Univ. Nova de Lisboa;Portugal ;
2003;main;Luciano Baresi;Italy;;
2003;main;Andrea Corradini;Italy;;
2003;main;Hartmut Ehrig;Germany;;
2003;main;José Fiadeiro;Portugal;;
2003;main;Istvan Forgàs;Hungary;;
2003;main;Marie-Claude Gaudel;France;;
2003;main;Heinrich Hußmann;Germany;;
2003;main;Mehdi Jazayeri;Austria;;
2003;main;Lee Osterweil;USA;;
2003;main;Mauro Pezzè;Milan, Italy;;
2003;main;Gianna Reggio;Italy;;
2003;main;Richard Taylor;USA;;
2003;main;Andy Schürr;Germany;;
2003;main;Roel Wieringa;The Netherlands;;
2002;main;Egidio Astesiano;Genova;Italy;
2002;main;Christine Choppy;Paris;France;
2002;main;José Fiadeiro;Lisbon;Portugal;
2002;main;Anthony Finkelstein;London;UK;
2002;main;Marie-Claude Gaudel;Orsay;France;
2002;main;Heinrich Hußmann;Dresden;Germany;
2002;main;Ralf-Detlef Kutsche;Berlin;Germany;
2002;main;Michael Loewe;Hannover;Germany;
2002;main;Tiziana Margaria;Dortmund;Germany;
2002;main;Narciso Marti Oliet;Madrid;Spain;
2002;main;Michael Perin;UJF/Verimag;France;
2002;main;Herbert Weber;Berlin;Germany;
2001;main;Egidio Astesiano;Università di Genova;Italy;
2001;main;Michel Bidoit;Ecole Normale Supérieure de Cachan;France;
2001;main;Dan Craigen;ORA Ottawa;Canada;
2001;main;Derek Coleman;HP;USA;
2001;main;José Fiadeiro;Universidade de Lisboa;Portugal;
2001;main;Carlo Ghezzi;Politecnico di Milano;Italy;
2001;main;Heinrich Hußmann;TU Dresden;Germany;
2001;main;Cliff Jones;University of Newcastle;UK;
2001;main;T. S. E. Maibaum;King's College London;UK;
2001;main;Bernhard Rumpe;Technische Universität München;Germany;
2001;main;Doug Smith;Kestrel Institute;USA;
2001;main;Martin Wirsing;Universität München;Germany;
2000;main;Gul Agha;University of Illinois Urbana;;
2000;main;David Basin;Albert-Ludwigs-Universität Freiburg;;
2000;main;Dan Craigen;ORA;Canada;
2000;main;Peter Dybjer;Chalmers University of Technology;;
2000;main;José Fiadeiro;University of Lisbon;;
2000;main;Jean-Pierre Finance;University of Nancy;;
2000;main;Hans-Dieter Ehrich;Technical University of Braunschweig;;
2000;main;Heinrich Hußmann;Technical University of Dresden;;
2000;main;Michael Lowry;NASA Ames Research Center;;
2000;main;Jeff Magee;Imperial College;;
2000;main;T. S. E. Maibaum;King's College London;;
2000;main;Dino Mandrioli;Politecnico di Milano;;
2000;main;Narciso Marti Oliet;Universidad Complutense Madrid;;
2000;main;Peter Mosses;University of Aarhus;;
2000;main;Andrzej Tarlecki;University of Warsaw;;
1999;main;Jean-Pierre Finance;University Henri Poincare;France;
1999;main;Egidio Astesiano;Universitá di Genova;Italy;
1999;main;Michel Bidoit;Ecole Normale Superieure de Cachan;France;
1999;main;Dan Craigen;Canada;;
1999;main;Carlo Ghezzi;Politcnico di Milano;Italy;
1999;main;Hartmut Ehrig;Technische Universität Berlin;Germany;
1999;main;Rene Jacquart;CERT DERI;Toulouse;France
1999;main;Cliff Jones;Harlequin Ltd;UK;
1999;main;T. S. E. Maibaum;Imperial College London;UK;
1999;main;Fernando Orejas;Barcelona;Spain;
1999;main;Doug Smith;Kestrel Institute Palo Alto California;USA;
1999;main;Axel Van Lamsweerde;Université Catholique de Louvain;Belgium;
1999;main;Martin Wirsing;Universität München;München;Germany
1998;main;Egidio Astesiano;Italy;;
1998;main;Michel Bidoit;France;;
1998;main;Z. Chao Chen;Macau;;
1998;main;Dan Craigen;CA;;
1998;main;Hartmut Ehrig;Germany;;
1998;main;Carlo Ghezzi;Italy;;
1998;main;Heinrich Hußmann;Germany;;
1998;main;Cliff Jones;UK;;
1998;main;T. S. E. Maibaum;UK;;
1998;main;Fernando Orejas;Spain;;
1998;main;G. Renardel de Lavalette;Netherlands;;
1998;main;Doug Smith;USA;;
1998;main;J. Wing;USA;;
1998;main;Martin Wirsing;Germany;;
