2013;main;Abram Hindle;University of California;USA
2013;main;Alberto Bacchelli;University of Lugano;Switzerland
2013;main;Alexandre Bergel;University of Chile;Chile
2013;main;Ali Mesbah;University of British Columbia;Canada
2013;main;Andrea De Lucia;University of Salerno;Italy
2013;main;Andreas Winter;Carl von Ossietzky University;Germany
2013;main;Andrew Sutton;Texas A&M University;USA
2013;main;Andrian Marcus;Wayne State University;USA
2013;main;Andy Zaidman;Delft University of Technology;Netherlands
2013;main;Annibale Panichella;University of Salerno;Italy
2013;main;Anthony Cleve;University of Namur;Belgium
2013;main;Bram Adams;Ecole Polytechnique de Montreal;Canada
2013;main;Chanchal Roy;University of Saskatchewan;Canada
2013;main;Collin Mcmillan;University of Notre-Dame;USA
2013;main;Daqing Hou;Clarkson University;USA
2013;main;David Lo;Singapore Management University;Singapore
2013;main;David Roethlisberger;UTFSM;Chile
2013;main;Dawn J. Lawrie;Loyola University Maryland;USA
2013;main;Denys Poshyvanyk;College of William and Mary;USA
2013;main;Dirk Beyer;Simon Fraser University;Canada
2013;main;Emad Shihab;Rochester Institute of Technology;USA
2013;main;Elmar Juergens;CQSE GmbH;Germany
2013;main;Emily Hill;Montclair State University;USA
2013;main;Filippo Ricca;University of Genova;Italy
2013;main;Foutse Khomh;Queen's University;Canada
2013;main;Gabriele Bavota;University of Sannio;Italy
2013;main;Gerardo Canfora;University of Sannio;Italy
2013;main;Giuliano Antoniol;Ecole Polytechnique de Montreal;Canada
2013;main;Hausi Muller;University of Victoria;Canada
2013;main;Huzefa Kagdi;Wichita State University;USA
2013;main;Jairo Aponte;Universidad Nacional de Colombia;Colombia
2013;main;James Cordy;Queen's University;Canada
2013;main;Jens Knodel;Fraunhover IESE;Germany
2013;main;Jens Krinke;University College London;UK
2013;main;Jonathan Maletic;Kent State University;USA
2013;main;Jorge Figeiredo;Universidade Federal de Campina Grande;Brazil
2013;main;Latifa Guerrouj;Ecole Polytechnique de Montreal;Canada
2013;main;Lingxiao Jiang;Singapore Management University;Singapore
2013;main;Lori Pollock;University of Delaware;USA
2013;main;Lu Zhang;Peking University;China
2013;main;Malcom Gethers;University of Maryland;USA
2013;main;Mariano Ceccato;Fondazione Bruno Kessler;Italy
2013;main;Mark Grechanik;Accenture Technology Labs and University of Illinois;USA
2013;main;Mark Harman;University College London;UK
2013;main;Martin Pinzger;Delft University of Technology;Netherlands
2013;main;Massimiliano Di Penta;University of Sannio;Italy
2013;main;Michael Collard;The University of Akron;USA
2013;main;Mircea Lungu;University of Bern;Switzerland
2013;main;Murray Wood;University of Strathclyde;UK
2013;main;Nabor Mendonca;University of Fortaleza;Brazil
2013;main;Nicholas Kraft;The University of Alabama;USA
2013;main;Radu Marinescu;Politehnica University of Timisoara;Romania
2013;main;Raghavan Komondoor;Indian Institute of Science;India
2013;main;Rainer Koschke;University of Bremen;Germany
2013;main;Sonia Haiduc;Wayne State University;USA
2013;main;Spiros Mancoridis;Drexel University;USA
2013;main;Thomas Fritz;University of Zurich;Switzerland
2013;main;Tom Dean;Queen's University;Canada
2013;main;Vassilios Tzerpos;York University;Canada
2013;main;Ying Zou;Queen's University;Canada
2013;main;Zhenchang Xing;National University of Singapore;Singapore
2013;main;Zheng Li;Bejing University of Chemical Technology;China
2012;main;Abdelwahab Hamou-Lhadj;Concordia University;Canada;
2012;main;Abram Hindle;University of Alberta;Canada;
2012;main;Ali Mesbah;University of British Columbia;Canada;
2012;main;Andrea De Lucia;University of Salerno;Italy;
2012;main;Andreas Winter;University of Mainz;Germany;
2012;main;Andrew Sutton;Texas A&M University;USA;
2012;main;Andrian Marcus;Wayne State University;USA;
2012;main;Anthony Cleve;University of Namur;Belgium;
2012;main;Bram Adams;Ecole Polytechnique de Montreal;Canada;
2012;main;Brian Robinson;ABB Corporate Research;USA;
2012;main;Carmine Gravino;University of Salerno;Italy;
2012;main;Chanchal K. Roy;University of Saskatchewan;Canada;
2012;main;Collin Mcmillan;University of Notre Dame;USA;
2012;main;Daniel German;University of Victoria;Canada;
2012;main;Daqing Hou;Clarkson University;USA;
2012;main;Dave Binkley;Loyola University Maryland;USA;
2012;main;David Lo;Singapore Management University;Singapore;
2012;main;Dharmalingam Ganesan;Fraunhofer Center for Experimental Software Engineering;USA;
2012;main;Dirk Beyer;University of Passau;Germany;
2012;main;Emad Shihab;Rochester Institute of Technology;USA;
2012;main;Filipo Ricca;University of Genova;Italy;
2012;main;Foutse Khomh;Queen's University;Canada;
2012;main;Gabriele Bavota;University of Salerno;Italy;
2012;main;Gail-Joon Ahn;Arizona State University;USA;
2012;main;Gerardo Canfora;University of Sannio;Italy;
2012;main;Giuliano Antoniol;Ecole Polytechnique de Montreal;Canada;
2012;main;Harald Gall;University of Zurich;Switzerland;
2012;main;Hausi A. Muller;University of Victoria;Canada;
2012;main;Huzefa Kagdi;Wichita State University;USA;
2012;main;James Clause;University of Delaware;USA;
2012;main;James R. Cordy;Queen's University;Canada;
2012;main;Jens Knodel;Fraunhover IESE;Germany;
2012;main;Jens Krinke;University College London;UK;
2012;main;Jonathan I. Maletic;Kent State University;USA;
2012;main;Leon Moonen;Simula Research Laboratory;Norwey;
2012;main;Lingxiao JIANG;Singapore Management University;Singapore;
2012;main;Malcom Gethers;University of Maryland;Baltimore County;USA
2012;main;Marco D'Ambros;University of Lugano;Switzerland;
2012;main;Mariano Ceccato;Fondazione Bruno Kessler;Italy;
2012;main;Mark Grechanik;Accenture Technology Labs and University of Illinois;Chicago;USA
2012;main;Mark Harman;University College London;UK;
2012;main;Martin Pinzger;Delft University of Technology;Netherlands;
2012;main;Massimiliano Di Penta;University of Sannio;Italy;
2012;main;Michael Collard;The University of Akron;USA;
2012;main;Mircea Lungu;University of Bern;Switzerland;
2012;main;Mohammed El Ramly;Cairo University;Egypt;
2012;main;Nabor Mendonca;University of Fortaleza;Brazil;
2012;main;Nicholas Kraft;The University of Alabama;USA;
2012;main;Paolo Tonella;Fondazione Bruno Kessler;Italy;
2012;main;Patrick Mäder;Johannes Kepler Universität;Austria;
2012;main;Radu Marinescu;Politehnica University of Timisoara;Romania;
2012;main;Rainer Koschke;University of Bremen;Germany;
2012;main;Ralph Lammel;University of Koblenz-Landau;Germany;
2012;main;Reid Holmes;University of Waterloo;Canada;
2012;main;Romain Robbes;University of Chile;Chile;
2012;main;Rudolf Ferenc;University of Szeged;Hungary;
2012;main;Scott Grant;Queen's University;Canada;
2012;main;Spiros Mancoridis;Drexel University;USA;
2012;main;Thomas Fritz;University of Zurich;Switzerland;
2012;main;Tudor Girba;University of Bern;Switzerland;
2012;main;Yann-Gaël Guéhéneuc;Ecole Polytechnique de Montreal;Canada;
2012;main;Zhenchang Xing;National University of Singapore;Singapore;
2012;main;Thomas Dean;Queen's University;Canada;
2012;main;Rocco Oliveto;University Of Molise;Italy;
2012;main;Denys Poshyvanyk;The College of William and Mary;USA;
2011;main;Abram Hindle;University of California;Davis;USA
2011;main;Ahmed E. Hassan;Queen’s University;Canada;
2011;main;Ali Mesbah;University of British Columbia;Canada;
2011;main;Andrea De Lucia;Università di Salerno;Italy;
2011;main;Andreas Winter;Carl von Ossietzky University Oldenburg;Germany;
2011;main;Andrew Sutton;Texas A&M University;USA;
2011;main;Andrian Marcus;Wayne State University;USA;
2011;main;Andy Zaidman;Delft University of Technology;The Netherlands;
2011;main;Anthony Cleve;University of Namur;Belgium;
2011;main;Arie van Deursen;Delft University of Technology;The Netherlands;
2011;main;Bram Adams;Queen’s University;Canada;
2011;main;Chanchal K. Roy;University of Saskatchewan;Canada;
2011;main;Daqing Hou;Clarkson University;USA;
2011;main;Daniel German;University of Victoria;Canada;
2011;main;Dave Binkley;Loyola College;USA;
2011;main;David Lo;Singapore Management University;Singapore;
2011;main;Dirk Beyer;University of Passau;Germany;
2011;main;Filipo Ricca;University of Genova;Italy;
2011;main;Gerald Gannod;Miami University;USA;
2011;main;Gerardo Canfora;University of Sannio;Italy;
2011;main;Giuliano Antoniol;Ecole Polytechnique de Montréal;Canada;
2011;main;Hausi A. Muller;University of Victoria;Canada;
2011;main;Ira Baxter;Semantic Designs;USA;
2011;main;James R. Cordy;Queen’s University;Canada;
2011;main;Jens Krinke;University College London;United Kingdom;
2011;main;Jonathan I. Maletic;Kent State University;USA;
2011;main;Ladan Tahvildari;University of Waterloo;Canada;
2011;main;Malcom Gethers;The College of William and Mary;USA;
2011;main;Marco D'Ambros;University of Lugano;Switzerland;
2011;main;Mariano Ceccato;Fondazione Bruno Kessler;Italy;
2011;main;Mark Grechanik;Accenture Labs;USA;
2011;main;Mark Harman;University College London;United Kingdom;
2011;main;Massimiliano Di Penta;University of Sannio – Benevento;Italy;
2011;main;Michael Blaha;Modelsoft Consulting Corporation;Canada;
2011;main;Mohammed El Ramly;Cairo University;Egypt;
2011;main;Nabor Mendonca;University of Fortaleza;Brazil;
2011;main;Naouel Moha;University of Québec in Montréal;Canada;
2011;main;Nicholas Kraft;The University of Alabama;USA;
2011;main;Paolo Tonella;Fondazione Bruno Kessler;Italy;
2011;main;Rainer Koschke;University of Bremen;Germany;
2011;main;Reid Holmes;University of Waterloo;Canada;
2011;main;Rocco Oliveto;University of Molise;Italy;
2011;main;Romain Robbes;University of Chile;Chile;
2011;main;Serge Demeyer;University of Antwerp;Belgium;
2011;main;Spiros Mancoridis;Drexel University;USA;
2011;main;Thomas Fritz;University of British Columbia;Canada;
2011;main;Tudor Girba;University of Bern;Switzerland;
2011;main;Vassilios Tzerpos;York University;Canada;
2011;main;Yann-Gaël Guéhéneuc;Ecole Polytechnique de Montréal;Canada;
2011;main;Ying Zou;Queen’s University;Canada;
2011;main;Zhenchang Xing;National University of Singapore;Singapore;
2011;main;Jim Buckley;University of Limerick;Ireland;
2011;main;Elliot Chikofsky;Engineering Management & Integration;USA;
2011;main;Martin Pinzger;Delft University of Technology;The Netherlands;
2011;main;Denys Poshyvanyk;The College of William and Mary;USA;
2010;main;Elliot Chikofsky;Engineering Management & Integration - USA;;
2010;main;Martin Pinzger;Delft University of Technology;The Netherlands;
2010;main;Giuliano Antoniol;Polytechnic School of Montreal;Canada;
2010;main;Ahmed E. Hassan;Queen's University;Canada;
2010;main;Andreas Winter;University of Mainz;Germany;
2010;main;Andy Zaidman;Delft University of Technology;The Netherlands;
2010;main;Anthony Cleve;INRIA Lille;France;
2010;main;Arie van Deursen;Delft University of Technology;The Netherlands;
2010;main;Bram Adams;Queen's University;Canada;
2010;main;Chanchal K. Roy;University of Saskatchewan;Canada;
2010;main;Claudio Riva;Nokia;Finland;
2010;main;Denys Poshyvanyk;The College of William and Mary;USA;
2010;main;Dirk Beyer;Simon Fraser University;Canada;
2010;main;Filipo Ricca;University of Genova;Italy;
2010;main;Harald Gall;University of Zurich;Switzerland;
2010;main;Harry Sneed;Universities of Budapest;Passau & Regensburg;
2010;main;Hausi A. Muller;University of Victoria;Canada;
2010;main;Ira Baxter;Semantic Designs;USA;
2010;main;Jens Knodel;Fraunhover IESE;Germany;
2010;main;Jens Krinke;FernUniverstat in Hagen;Germany;
2010;main;Jonathan I. Maletic;Kent State University;USA;
2010;main;Kamran Sartipi;McMaster University;Canada;
2010;main;Keith Gallagher;Florida Institute of Technology;USA;
2010;main;Marco D'Ambros;University of Lugano;Switzerland;
2010;main;Mariano Ceccato;FBK;Italy;
2010;main;Marin Litoiu;York University;Canada;
2010;main;Mark Harman;Kings College London;UK;
2010;main;Martin Robillard;McGill University;Canada;
2010;main;Massimiliano Di Penta;University of Sannio - Benevento;Italy;
2010;main;Michael Blaha;Modelsoft Consulting Corporation;Canada;
2010;main;Michael Collard;The University of Akron;USA;
2010;main;Mike Godfrey;University of Waterloo;Canada;
2010;main;Michele Lanza;University of Lugano;Switzerland;
2010;main;Mohammed El Ramly;Cairo University;Egypt;
2010;main;Nabor Mendonca;University of Fortaleza;Brazil;
2010;main;Radu Marinescu;Politehnica University of Timisoara;Romania;
2010;main;Rainer Koschke;University of Bremen;Germany;
2010;main;Rocco Oliveto;University of Salerno;Italy;
2010;main;Serge Demeyer;University of Antwerp;Belgium;
2010;main;Spiros Mancoridis;Drexel University;USA;
2010;main;Stéphane Ducasse;INRIA Lille;France;
2010;main;Tarja Systä;Technical University of Tampere;Finland;
2010;main;Tudor Girba;University of Bern;Switzerland;
2010;main;Yann-Gaël Guéhéneuc;Ecole Polytechnique de Montreal;Canada;
2009;main;Ira Baxter;Semantic Designs;USA;
2009;main;Dirk Beyer;Simon Fraser University;Canada;
2009;main;Michael Blaha;Modelsoft Consulting Corporation;Canada;
2009;main;Michael Collard;The University of Akron;USA;
2009;main;James R. Cordy;School of Computing,Queen's University;Canada;
2009;main;Marco D'Ambros;University of Lugano;Italy;
2009;main;Andrea De Lucia;University of Salerno;Italy;
2009;main;Serge Demeyer;University of Antwerp;Belgium;
2009;main;Massimiliano Di Penta;University of Sannio - Benevento;Italy;
2009;main;Beat Fluri;University of Zurich;Switzerland;
2009;main;Harald Gall;University of Zurich;Switzerland;
2009;main;Keith Gallagher;;;
2009;main;Mohammed El Ramly;The British University in Egypt;Egypt;
2009;main;Tudor Girba;University of Bern;Switzerland;
2009;main;Mike Godfrey;University of Waterloo;Canada;
2009;main;Mark Harman;Kings College London;UK;
2009;main;Ahmed E. Hassan;Queen's University Kingston;Canada;
2009;main;Sung Kim;MIT;USA;
2009;main;Jens Knodel;Fraunhover IESE;Germany;
2009;main;Jens Krinke;FernUniverstat in Hagen;Germany;
2009;main;Michele Lanza;University of Lugano;Switzerland;
2009;main;Marin Litoiu;IBM Canada;Canada;
2009;main;Jonathan I. Maletic;Kent State University;USA;
2009;main;Andrian Marcus;Wayne State University;USA;
2009;main;Radu Marinescu;Politehnica University of Timisoara;Romania;
2009;main;Nabor Mendonca;University of Fortaleza;Brazil;
2009;main;Leon Moonen;Simula Research Laboratory;Norway;
2009;main;Hausi A. Muller;University of Victoria;Canada;
2009;main;Liam O'Brien;NICTA;Australia;
2009;main;Rocco Oliveto;University of Salerno;Italy;
2009;main;Denys Poshyvanyk;The College of William and Mary;USA;
2009;main;Filipo Ricca;University of Genova;Italy;
2009;main;Martin Robillard;McGill University;Canada;
2009;main;Gregorio Robles;Universidad Rey Juan-Carlos;Spain;
2009;main;Kamran Sartipi;McMaster University;Canada;
2009;main;Susan Elliott Sim;University of California;USA;
2009;main;Eleni Stroulia;University of Alberta;Canada;
2009;main;Tarja Systä;Technical University of Tampere;Finland;
2009;main;Ladan Tahvildari;University of Waterloo;Canada;
2009;main;Paolo Tonella;IRST;Italy;
2009;main;Vassilios Tzerpos;York University;Canada;
2009;main;Jingwei Wu;Oracle;USA;
2009;main;Ying Zou;Queen's University;Canada;
2009;main;Arie van Deursen;Delft University of Technology;The Netherlands;
2009;main;Ali Mesbah;Delft University of Technology;The Netherlands;
2009;main;Simon Denier;INRIA Lille-Nord Europe;France;
2009;main;George E. Kalb;Johns Hopkins University;USA;
2009;main;Giuliano Antoniol;Polytechnic School of Montreal;Canada;
2009;main;Andy Zaidman;Delft University of Technology;The Netherlands;
2009;main;Stéphane Ducasse;INRIA Lille,France;;
2008;main;Andy Zaidman;Delft University of Technology;The Netherlands;
2008;main;Ahmed E. Hassan;Queen's University Kingston;Canada;
2008;main;Massimiliano Di Penta;University of Sannio - Benevento;Italy;
2008;main;Bram Adams;Ghent University;Belgium;
2008;main;Giuliano Antoniol;Ecole Polytechnique de Montreal;Canada;
2008;main;Lerina Aversano;University of Sannio;Italy;
2008;main;Ira Baxter;Semantic Designs;USA;
2008;main;Dirk Beyer;Simon Fraser University;Canada;
2008;main;Michael Blaha;Modelsoft Consulting Corporation;Canada;
2008;main;Magiel Bruntink;CWI Amsterdam;The Netherlands;
2008;main;Liz Burd;Durham University;UK;
2008;main;Gerardo Canfora;University of Sannio;Italy;
2008;main;Andrea Capiluppi;University of Lincoln;UK;
2008;main;Luigi Cerulo;University of Sannio;Italy;
2008;main;Michael Collard;The University of Akron;USA;
2008;main;James R. Cordy;Queen's University;Canada;
2008;main;Wim De Pauw;IBM Research;USA;
2008;main;Andrea De Lucia;University of Salerno;Italy;
2008;main;Serge Demeyer;University of Antwerp;Belgium;
2008;main;Giuseppe Di Lucca;University of Sannio;Italy;
2008;main;Mohammed El Ramly;Cairo University;Egypt;
2008;main;Tudor Girba;University of Bern;Switzerland;
2008;main;Mike Godfrey;University of Waterloo;Canada;
2008;main;Yann-Gaël Guéhéneuc;University of Montreal;Canada;
2008;main;Jean-Luc Hainaut;Facultes Universitaire Notre Dame de la Paix;Namur;Belgium
2008;main;Abdelwahab Hamou-Lhadj;Concordia University;Canada;
2008;main;Mark Harman;Kings College London;UK;
2008;main;Daqing Hou;Clarkson University;USA;
2008;main;George E. Kalb;John Hopkins University;USA;
2008;main;Holger M. Kienle;Germany;;
2008;main;Sung Kim;MIT;USA;
2008;main;Jens Knodel;Fraunhover IESE;Germany;
2008;main;Rainer Koschke;University of Bremen;Germany;
2008;main;Rene Krikhaar;Vrije Universiteit Amsterdam (Free University of Amsterdam);The Netherlands;
2008;main;Jens Krinke;FernUniverstat in Hagen;Germany;
2008;main;Michele Lanza;University of Lugano;Switzerland;
2008;main;Marin Litoiu;IBM Canada;Canada;
2008;main;Jonathan I. Maletic;Kent State University;USA;
2008;main;Spiros Mancoridis;Drexel University;USA;
2008;main;Andrian Marcus;Wayne State University;USA;
2008;main;Radu Marinescu;Politehnica University of Timisoara;Romania;
2008;main;Daryl J. Martin;Research in Motion (RIM);Canada;
2008;main;Nabor Mendonca;University of Fortaleza;Brazil;
2008;main;Kim Mens;Universite Catholique de Louvain;Belgium;
2008;main;Leon Moonen;Delft University of Technology;The Netherlands;
2008;main;Hausi A. Muller;University of Victoria;Canada;
2008;main;Liam O'Brien;Software Engineering Institute;Carnegie Mellon University;USA
2008;main;Claudio Riva;Nokia;Finland;
2008;main;Martin Robillard;McGill University;Canada;
2008;main;Gregorio Robles;Universidad Rey Juan-Carlos;Spain;
2008;main;Kamran Sartipi;McMaster University;Canada;
2008;main;Harry Sneed;Universities of Budapest;Passau & Regensburg;
2008;main;Margaret-Anne Storey;University of Victoria;Canada;
2008;main;Tarja Systä;Technical University of Tampere;Finland;
2008;main;Ladan Tahvildari;University of Waterloo;Canada;
2008;main;Paolo Tonella;IRST;Italy;
2008;main;Vassilios Tzerpos;York University;Canada;
2008;main;Jim Whitehead;University of California Santa Cruz;USA;
2008;main;Andreas Winter;University of Mainz;Germany;
2008;main;Jingwei Wu;Oracle;USA;
2008;main;Ying Zou;Queen's University;Canada;
2007;main;Lerina Aversano;University of Sannio;Italy;
2007;main;Giuliano Antoniol;École Polytechnique de Montréal;Canada;
2007;main;Liz Burd;University of Durham;UK;
2007;main;Gerardo Canfora;University of Sannio;Italy;
2007;main;Michael Collard;Ashland University;USA;
2007;main;James R. Cordy;Queen's University;Canada;
2007;main;Andrea De Lucia;Universita' degli Studi di Salerno;Italy;
2007;main;Giuseppe Di Lucca;RCOST - University of Sannio;Italy;
2007;main;Jean-Marie Favre;University of Grenoble;France;
2007;main;Harald Gall;University of Zurich;Switzerland;
2007;main;Keith Gallagher;Durham University;UK;
2007;main;Mike Godfrey;University of Waterloo;Canada;
2007;main;Yann-Gaël Guéhéneuc;Universit� de Montr�al;Canada;
2007;main;Mark Harman;King's College;UK;
2007;main;Daqing Hou;Clarkson University;USA;
2007;main;George E. Kalb;Johns Hopkins University;USA;
2007;main;Jens Knodel;Fraunhofer IESE;Germany;
2007;main;Kostas Kontogiannis;University of Waterloo;Canada;
2007;main;Rainer Koschke;University of Bremen;Germany;
2007;main;Andrew Malton;University of Waterloo;Canada;
2007;main;Spiros Mancoridis;Drexel University;USA;
2007;main;Andrian Marcus;Wayne State University;USA;
2007;main;Michele Lanza;University of Lugano;Switzerland;
2007;main;Leon Moonen;TU Delft & CWI;The Netherlands;
2007;main;Hausi A. Muller;University of Victoria;BC;Canada
2007;main;Liam O'Brien;Lero - the Irish Software Engineering Research Centre;;
2007;main;Susan Elliott Sim;UC Irvine;USA;
2007;main;Harry Sneed;ANECON;Hungary;
2007;main;Margaret-Anne Storey;University of Victoria;Canada;
2007;main;Eleni Stroulia;University of Alberta;Canada;
2007;main;Ladan Tahvildari;University of Waterloo;Canada;
2007;main;Paolo Tonella;ITC-irst;Trento;Italy
2007;main;Vassilios Tzerpos;York University;Canada;
2007;main;Arie van Deursen;CWI and TU Delft;The Netherlands;
2007;main;Jim Whitehead;University of California;Santa Cruz;
2007;main;Andreas Winter;University of Koblenz-Landau;Germany;
2007;main;Kenny Wong;University of Alberta;Canada;
2007;main;Ying Zou;Queen's University;Canada;
2007;main;Massimiliano Di Penta;University of Sannio;Italy;
2007;main;Michael Blaha;Modelsoft Consulting Corporation;;
2007;main;Jonathan I. Maletic;Kent State University;;
2006;main;Giuliano Antoniol;University of Sannio;Italy;
2006;main;Michael Blaha;Modelsoft Consulting Corp;;
2006;main;Liz Burd;University of Durham;UK;
2006;main;James R. Cordy;Queen's University;Canada;
2006;main;Elliot Chikofsky;Engineering Management & Integration EM&I);USA;
2006;main;Andrea De Lucia;Universita' degli Studi di Salerno;Italy;
2006;main;Giuseppe Di Lucca;RCOST - University of Sannio;Italy;
2006;main;Massimiliano Di Penta;RCOST - University of Sannio;Italy;
2006;main;Stéphane Ducasse;University of Berne;Switzerland;
2006;main;Jean-Marie Favre;University of Grenoble;France;
2006;main;Harald Gall;University of Zurich;Switzerland;
2006;main;Mike Godfrey;University of Waterloo;Canada;
2006;main;Nicolas Gold;King's College;UK;
2006;main;Ahmed E. Hassan;Research In Motion (RIM);Canada;
2006;main;Mark Harman;King's College;UK;
2006;main;George E. Kalb;Johns Hopkins University;USA;
2006;main;Jens Knodel;Fraunhofer IESE;Germany;
2006;main;Kostas Kontogiannis;University of Waterloo;Canada;
2006;main;Rainer Koschke;University of Bremen;Germany;
2006;main;Ralph Lammel;Microsoft Inc.;USA;
2006;main;Jonathan I. Maletic;Kent State University;USA;
2006;main;Andrew Malton;University of Waterloo;Canada;
2006;main;Spiros Mancoridis;Drexel University;USA;
2006;main;Andrian Marcus;Wayne State University;USA;
2006;main;Leon Moonen;TU Delft & CWI;The Netherlands;
2006;main;Liam O'Brien;Lero - the Irish Software Engineering Research Centre;;
2006;main;Susan Elliott Sim;UC Irvine;USA;
2006;main;Harry Sneed;ANECON;Hungary;
2006;main;Margaret-Anne Storey;University of Victoria;Canada;
2006;main;Eleni Stroulia;University of Alberta;Canada;
2006;main;Ladan Tahvildari;University of Waterloo;Canada;
2006;main;Philippe Thiran;University of Namur;Belgium;
2006;main;Paolo Tonella;ITC-irst;Trento;Italy
2006;main;Maria Tortorella;RCOST - University of Sannio;Italy;
2006;main;Vassilios Tzerpos;York University;Canada;
2006;main;Arie van Deursen;CWI and TU Delft;The Netherlands;
2006;main;Giuseppe Visaggio;University of Bari;Italy;
2006;main;Jim Whitehead;University of California;Santa Cruz;
2006;main;Andreas Winter;University of Koblenz-Landau;Germany;
2006;main;Kenny Wong;University of Alberta;Canada;
2006;main;Ying Zou;Queen's University;Canada;
2006;main;Gerardo Canfora;University of Sannio;Italy;
2005;main;Giuliano Antoniol;University of Sannio;Italy;
2005;main;Michael Blaha;OMT Associates;USA;
